audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
16,4,256,0.2,0.5,0.3,0.0005,0.0003,1,128,0.0,3.0906038,1.0317031,0.60178,0.29009,0.7303206997084548,0.7289026798960858
16,4,256,0.2,0.5,0.3,0.0005,0.0003,1,128,0.0,2.960157,0.98815733,0.62757,0.32653,0.760932944606414,0.7604130766514657
16,4,256,0.2,0.5,0.3,0.0005,0.0003,1,128,0.0,2.9443212,0.982871,0.63762,0.31924,0.7536443148688047,0.7529499835034713
16,4,256,0.2,0.5,0.3,0.0005,0.0003,1,128,0.0,2.977691,0.99401057,0.62362,0.30466,0.7536443148688047,0.7520770176528287
4,8,128,0.2,0.1,0.5,0.003,0.001,8,4,0.01,2.7641697,0.92273307,0.6705,0.34257,0.7682215743440233,0.7652076490976409
4,8,128,0.2,0.1,0.5,0.003,0.001,8,4,0.01,4.2459245,1.4173712,nan,0.15452,0.44752186588921283,0.27671543369181945
4,8,128,0.2,0.1,0.5,0.003,0.001,8,4,0.01,2.8973615,0.9671949,0.63099,0.32507,0.7682215743440233,0.7648465634752627
4,8,128,0.2,0.1,0.5,0.003,0.001,8,4,0.01,2.9063318,0.9701895,0.63175,0.33673,0.7653061224489796,0.7638130168171918
16,4,256,0.3,0.0,0.5,0.003,0.0005,1,32,0.01,2.9115248,0.97192293,0.65091,0.31778,0.7696793002915452,0.7696793002915452
16,4,256,0.3,0.0,0.5,0.003,0.0005,1,32,0.01,2.8875349,0.9639147,0.65371,0.30466,0.7580174927113703,0.7581587442071308
16,4,256,0.3,0.0,0.5,0.003,0.0005,1,32,0.01,2.8633637,0.95584595,0.64527,0.33819,0.7638483965014577,0.7627907875356856
16,4,256,0.3,0.0,0.5,0.003,0.0005,1,32,0.01,2.820691,0.9416009,0.6558,0.33819,0.7667638483965015,0.7654747030007338
8,8,256,0.0,0.3,0.15,0.001,0.0003,4,16,0.002,2.9577127,0.9873414,0.64143,0.30904,0.760932944606414,0.7604130766514657
8,8,256,0.0,0.3,0.15,0.001,0.0003,4,16,0.002,2.9286368,0.9776353,0.6424,0.31341,0.7638483965014577,0.7621390734851389
8,8,256,0.0,0.3,0.15,0.001,0.0003,4,16,0.002,2.7964075,0.9334946,0.67025,0.33382,0.7740524781341108,0.7723489151084515
8,8,256,0.0,0.3,0.15,0.001,0.0003,4,16,0.002,2.8675277,0.9572359,0.65363,0.31778,0.7638483965014577,0.7612117473693394
16,16,64,0.1,0.1,0.1,0.003,0.003,1,4,0.001,2.8531196,0.95242614,0.64878,0.33382,0.7725947521865889,0.7706682105562417
16,16,64,0.1,0.1,0.1,0.003,0.003,1,4,0.001,2.885037,0.9630808,0.6325,0.35131,0.7478134110787172,0.7473168769403816
16,16,64,0.1,0.1,0.1,0.003,0.003,1,4,0.001,2.8257022,0.9432738,0.66052,0.35131,0.7448979591836735,0.7444971933195574
16,16,64,0.1,0.1,0.1,0.003,0.003,1,4,0.001,2.9228797,0.9757134,0.62378,0.32507,0.739067055393586,0.7369387743037584
4,4,128,0.0,0.1,0.0,0.0003,0.001,8,16,0.0,2.7386224,0.91420484,0.68099,0.36735,0.7769679300291545,0.7764360658483623
4,4,128,0.0,0.1,0.0,0.0003,0.001,8,16,0.0,2.7427275,0.9155753,0.68123,0.32945,0.7857142857142857,0.7818757493260206
4,4,128,0.0,0.1,0.0,0.0003,0.001,8,16,0.0,2.770918,0.92498565,0.66944,0.36443,0.7653061224489796,0.7650266256969563
4,4,128,0.0,0.1,0.0,0.0003,0.001,8,16,0.0,2.7626815,0.9222362,0.68892,0.32507,0.7696793002915452,0.7700344016281521
8,4,256,0.3,0.5,0.15,0.0005,0.0005,16,32,0.01,2.9755743,0.993304,0.62266,0.30321,0.749271137026239,0.7496041873292774
8,4,256,0.3,0.5,0.15,0.0005,0.0005,16,32,0.01,2.9130726,0.9724397,0.65963,0.33673,0.7536443148688047,0.7535251030703172
8,4,256,0.3,0.5,0.15,0.0005,0.0005,16,32,0.01,2.8450775,0.9497417,0.65885,0.32507,0.7740524781341108,0.772615016190464
8,4,256,0.3,0.5,0.15,0.0005,0.0005,16,32,0.01,2.7924097,0.93216,0.66179,0.32362,0.7638483965014577,0.7637732536623674
16,8,128,0.5,0.3,0.2,0.003,0.001,8,4,0.002,2.75356,0.9191914,0.6822,0.33673,0.7755102040816326,0.7749266857001866
16,8,128,0.5,0.3,0.2,0.003,0.001,8,4,0.002,2.8340373,0.9460561,0.66222,0.34402,0.7580174927113703,0.7565464616550688
16,8,128,0.5,0.3,0.2,0.003,0.001,8,4,0.002,2.8335426,0.945891,0.65502,0.32653,0.760932944606414,0.7602057004463063
16,8,128,0.5,0.3,0.2,0.003,0.001,8,4,0.002,2.6603625,0.8880802,0.69851,0.3586,0.7740524781341108,0.7739431418692257
4,8,64,0.1,0.15,0.2,0.0005,0.003,8,64,0.002,2.7218528,0.9086069,0.67603,0.36589,0.7740524781341108,0.7734156653434204
4,8,64,0.1,0.15,0.2,0.0005,0.003,8,64,0.002,2.7093425,0.9044305,0.68271,0.33673,0.7784256559766763,0.7751102270605639
4,8,64,0.1,0.15,0.2,0.0005,0.003,8,64,0.002,2.822953,0.9423561,0.66629,0.33965,0.7696793002915452,0.7686478051273969
4,8,64,0.1,0.15,0.2,0.0005,0.003,8,64,0.002,2.8471014,0.9504172,0.6517,0.32799,0.7769679300291545,0.7765287986813781
16,16,256,0.5,0.1,0.2,0.003,0.0003,4,4,0.0,2.8634887,0.9558876,0.63679,0.35569,0.7594752186588921,0.7589016396403909
16,16,256,0.5,0.1,0.2,0.003,0.0003,4,4,0.0,2.8756618,0.9599512,0.66552,0.36443,0.750728862973761,0.7513288876887377
16,16,256,0.5,0.1,0.2,0.003,0.0003,4,4,0.0,2.9351728,0.9798171,0.62681,0.31341,0.7434402332361516,0.7427733550859278
16,16,256,0.5,0.1,0.2,0.003,0.0003,4,4,0.0,2.8743465,0.9595122,0.65135,0.29738,0.7798833819241983,0.7791635754873935
16,8,64,0.3,0.0,0.0,0.0003,0.001,8,128,0.002,3.105806,1.0367779,0.58731,0.28863,0.7419825072886297,0.7400371482206187
16,8,64,0.3,0.0,0.0,0.0003,0.001,8,128,0.002,2.9251916,0.97648525,0.65336,0.30612,0.750728862973761,0.7504320061750283
16,8,64,0.3,0.0,0.0,0.0003,0.001,8,128,0.002,3.0446608,1.0163661,0.597,0.30321,0.7244897959183674,0.7238327872244478
16,8,64,0.3,0.0,0.0,0.0003,0.001,8,128,0.002,2.9534252,0.9859101,0.63025,0.30029,0.7653061224489796,0.7635366150481333
4,8,128,0.1,0.2,0.0,0.001,0.001,8,8,0.002,2.945473,0.98325557,0.6503,0.31487,0.7580174927113703,0.7580902387753701
4,8,128,0.1,0.2,0.0,0.001,0.001,8,8,0.002,2.8313372,0.94515485,0.66074,0.32507,0.7696793002915452,0.7690806255885034
4,8,128,0.1,0.2,0.0,0.001,0.001,8,8,0.002,2.8413935,0.94851184,0.63723,0.33673,0.7638483965014577,0.7612117473693394
4,8,128,0.1,0.2,0.0,0.001,0.001,8,8,0.002,2.9012532,0.9684941,0.63983,0.33819,0.7653061224489796,0.7633918584519839
16,16,128,0.2,0.15,0.0,0.0003,0.003,4,128,0.0,2.8009682,0.93501705,0.67054,0.32653,0.7842565597667639,0.7833975672494113
16,16,128,0.2,0.15,0.0,0.0003,0.003,4,128,0.0,2.9071226,0.97045344,0.64745,0.31924,0.7667638483965015,0.7669619470496308
16,16,128,0.2,0.15,0.0,0.0003,0.003,4,128,0.0,2.788433,0.93083256,0.66529,0.3309,0.7711370262390671,0.769270321596034
16,16,128,0.2,0.15,0.0,0.0003,0.003,4,128,0.0,3.0175276,1.0073086,0.59836,0.30904,0.7521865889212828,0.7497628377278971
16,16,128,0.3,0.3,0.5,0.0003,0.003,8,4,0.0,3.2108443,1.0718416,0.54578,0.26968,0.7448979591836735,0.7421398490458713
16,16,128,0.3,0.3,0.5,0.0003,0.003,8,4,0.0,2.884103,0.9627691,0.63593,0.3207,0.760932944606414,0.7597391119833554
16,16,128,0.3,0.3,0.5,0.0003,0.003,8,4,0.0,2.886137,0.96344805,0.66518,0.30175,0.782798833819242,0.7825401691232702
16,16,128,0.3,0.3,0.5,0.0003,0.003,8,4,0.0,3.0214908,1.0086317,0.62009,0.29883,0.7565597667638484,0.7568555717906574
