audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
16,16,128,0.15,0.3,0.2,0.0005,0.0005,8,8,0.002,0.9714936,0.9714935,0.66177,0.31633,0.7769679300291545,0.776339334177699
8,16,128,0,0.2,0.2,0.0005,0.0005,8,4,0.002,0.98156244,0.9815624,0.64741,0.30758,0.7682215743440233,0.7674636324668579
8,4,256,0,0.1,0.3,0.0003,0.003,8,128,0.002,0.9478555,0.9478554,0.66205,0.33965,0.7769679300291545,0.7759121334715582
16,8,64,0.5,0.15,0.1,0.001,0.003,8,4,0.001,0.95631516,0.95631504,0.65263,0.34548,0.7755102040816326,0.7752840286017962
8,16,64,0.5,0,0.3,0.001,0.001,1,4,0.001,0.98740125,0.9874011,0.6462,0.30758,0.7653061224489796,0.7651925538125507
4,4,256,0.5,0.1,0.3,0.0005,0.0003,4,8,0.002,0.98401576,0.9840157,0.65671,0.3105,0.7653061224489796,0.7656434281343059
16,8,256,0.1,0.15,0,0.0005,0.0003,8,16,0.01,1.0101068,1.0101068,0.63666,0.29738,0.7682215743440233,0.7666126842816529
8,4,128,0.5,0.3,0.5,0.0005,0.001,4,8,0.01,1.04453,1.04453,0.6008,0.26968,0.7463556851311953,0.7414724289564153
16,16,128,0.3,0,0,0.0005,0.001,1,8,0,0.9820859,0.9820858,0.64323,0.31633,0.7784256559766763,0.7762585372625904
16,4,256,0.3,0.2,0.15,0.001,0.0005,1,64,0.01,1.029675,1.029675,0.61416,0.30321,0.750728862973761,0.750134426536405
16,16,64,0.2,0.1,0.2,0.001,0.001,4,16,0,0.9763228,0.9763228,0.6521,0.29738,0.7638483965014577,0.7622781303805657
4,16,256,0.15,0.1,0,0.003,0.0003,1,64,0.002,1.0140128,1.0140128,0.62328,0.29738,0.7711370262390671,0.7710262791836675
4,16,256,0.5,0.3,0,0.0003,0.0003,4,32,0.002,1.0312731,1.0312731,0.60246,0.30466,0.7274052478134111,0.7273624779266372
8,8,128,0.1,0,0,0.0003,0.003,4,8,0.002,0.9481682,0.94816816,0.66617,0.32507,0.7638483965014577,0.7627907875356856
8,8,256,0.3,0.2,0.2,0.003,0.0005,8,16,0.001,0.97923464,0.97923464,0.66289,0.3105,0.7769679300291545,0.7770670373063748
